user_id,age,gender,occupation,work_mode,screen_time_hours,work_screen_hours,leisure_screen_hours,sleep_hours,sleep_quality_1_5,stress_level_0_10,productivity_0_100,exercise_minutes_per_week,social_hours_per_week,mental_wellness_index_0_100
U0001,40,Female,Student,Remote,8.29,4.29,4.0,8.27,5,3.0,74.7,208.0,9.6,86.0
U0002,18,Male,Employed,Hybrid,8.24,5.36,2.89,6.9,3,1.6,60.3,180.0,7.2,63.9
U0003,21,Male,Unemployed,N/A,4.23,1.19,3.04,7.83,4,2.6,73.8,227.0,10.7,76.0
U0004,39,Female,Employed,Hybrid,7.9,4.01,3.89,8.11,3,3.9,70.6,121.0,6.1,59.2
U0005,18,Female,Employed,Office,7.16,4.18,2.98,8.11,3,4.6,72.6,246.0,13.6,65.6
U0006,27,Male,Unemployed,N/A,5.72,0.25,5.48,7.7,4,3.2,71.8,263.0,15.8,86.0
U0007,39,Female,Student,Office,12.19,3.53,8.65,6.14,3,4.6,30.4,99.0,9.6,40.8
U0008,39,Male,Self-employed,Remote,9.03,6.08,2.96,7.75,5,6.4,64.9,133.0,11.3,71.7
U0009,26,Male,Employed,Office,5.51,5.01,0.5,8.15,3,3.5,69.9,169.0,11.2,77.6
U0010,37,Male,Retired,N/A,3.64,0.04,3.59,8.2,3,3.7,63.3,274.0,11.4,68.5
U0011,39,Male,Student,Office,9.27,4.49,4.78,6.58,3,6.7,51.7,244.0,7.0,42.2
U0012,46,Male,Employed,Hybrid,7.24,3.67,3.56,6.76,3,4.9,52.9,229.0,10.3,51.6
U0013,30,Female,Self-employed,Hybrid,8.97,7.61,1.36,7.5,3,3.2,57.0,237.0,14.6,73.0
U0014,49,Male,Employed,Office,8.27,5.94,2.33,8.95,4,4.7,65.4,220.0,7.6,65.5
U0015,44,Female,Student,Hybrid,9.53,6.4,3.13,6.67,2,6.6,48.5,143.0,13.2,56.2
U0016,36,Female,Employed,Office,8.27,3.89,4.38,7.28,3,5.1,52.2,168.0,12.6,61.5
U0017,47,Male,Employed,Hybrid,9.19,5.49,3.7,7.63,4,4.8,63.0,114.0,13.4,72.4
U0018,47,Female,Employed,Remote,12.49,8.27,4.21,7.24,3,10.0,44.9,193.0,10.6,30.9
U0019,21,Male,Student,Remote,9.66,2.25,7.41,5.76,1,3.5,40.3,160.0,7.8,43.8
U0020,36,Male,Student,Remote,7.24,4.57,2.68,9.33,5,4.2,90.9,192.0,12.3,86.2
U0021,29,Male,Employed,Office,7.54,3.0,4.55,8.26,4,2.7,57.8,168.0,12.3,81.9
U0022,50,Male,Retired,N/A,7.05,1.19,5.86,6.58,2,4.1,59.2,270.0,8.9,57.4
U0023,23,Female,Employed,Remote,8.32,7.41,0.91,6.41,3,5.2,38.2,183.0,14.7,57.1
U0024,35,Female,Employed,Remote,10.96,7.2,3.76,7.57,3,5.4,80.7,231.0,5.8,46.3
U0025,33,Other,Unemployed,N/A,5.43,1.29,4.13,7.39,3,5.8,52.5,191.0,9.2,57.0
U0026,52,Female,Self-employed,Office,7.35,4.84,2.51,8.2,5,4.9,62.5,83.0,7.1,74.6
U0027,53,Female,Employed,Office,10.13,4.84,5.29,7.2,3,4.1,54.3,199.0,9.3,68.6
U0028,47,Male,Employed,Remote,13.87,9.24,4.63,7.12,2,7.2,19.8,50.0,8.1,28.3
U0029,31,Male,Employed,Office,9.22,6.71,2.52,7.51,3,4.4,69.0,174.0,12.0,69.5
U0030,29,Female,Retired,N/A,6.5,0.67,5.83,6.1,4,3.7,61.0,201.0,8.3,60.5
U0031,38,Female,Student,Office,4.71,3.26,1.45,7.32,5,4.1,64.3,230.0,12.1,77.5
U0032,40,Female,Student,Hybrid,12.6,6.3,6.3,6.72,3,6.7,24.2,61.0,6.8,27.2
U0033,25,Other,Retired,N/A,5.45,1.08,4.38,9.38,4,0.7,100.0,276.0,14.8,100.0
U0034,33,Female,Employed,Remote,12.28,9.27,3.01,5.49,3,9.1,10.0,132.0,8.8,10.0
U0035,33,Female,Self-employed,Office,10.11,6.39,3.72,7.22,3,4.6,59.5,52.0,5.9,56.0
U0036,53,Male,Employed,Office,11.33,7.83,3.5,7.94,3,5.4,49.8,192.0,9.9,52.7
U0037,52,Male,Employed,Remote,13.75,8.82,4.93,5.23,1,8.3,2.3,86.0,8.4,0.0
U0038,51,Female,Unemployed,N/A,5.55,0.99,4.56,7.64,5,1.7,63.2,93.0,12.0,87.9
U0039,39,Male,Employed,Office,10.77,4.09,6.68,6.83,2,3.5,41.2,91.0,9.8,45.0
U0040,20,Female,Student,Remote,11.04,5.27,5.77,7.73,3,3.4,59.0,103.0,8.3,45.2
U0041,18,Male,Self-employed,Remote,14.51,9.23,5.28,5.73,3,10.0,24.1,150.0,6.7,0.0
U0042,37,Male,Employed,Remote,8.56,5.91,2.65,6.8,4,4.5,64.4,273.0,13.1,76.9
U0043,35,Female,Self-employed,Hybrid,7.87,4.78,3.09,6.99,3,5.9,62.7,297.0,6.1,48.6
U0044,29,Male,Employed,Remote,8.56,3.75,4.82,7.73,5,3.6,77.4,137.0,13.0,76.2
U0045,36,Female,Employed,Office,9.43,6.63,2.81,6.48,3,3.1,49.5,161.0,11.4,63.8
U0046,18,Male,Employed,Hybrid,9.17,5.78,3.39,6.84,3,6.1,27.6,194.0,14.1,41.7
U0047,41,Female,Retired,N/A,5.01,0.9,4.11,7.46,5,1.5,84.7,320.0,12.1,92.0
U0048,42,Male,Employed,Office,12.59,5.93,6.65,7.51,3,4.2,51.3,96.0,13.3,44.7
U0049,47,Female,Employed,Office,8.92,4.23,4.69,5.59,3,3.7,58.8,183.0,11.1,52.8
U0050,30,Female,Student,Hybrid,8.91,4.77,4.14,7.0,2,3.2,55.4,257.0,12.0,63.5
U0051,50,Male,Employed,Office,9.52,4.83,4.69,8.36,4,1.4,73.2,174.0,7.9,83.5
U0052,45,Male,Employed,Office,7.71,5.92,1.79,9.5,3,3.9,77.6,291.0,12.7,82.1
U0053,38,Female,Employed,Office,5.92,3.79,2.13,7.71,5,7.6,62.6,243.0,8.6,66.9
U0054,28,Male,Employed,Hybrid,11.15,7.23,3.92,6.0,2,4.1,33.0,43.0,9.1,36.0
U0055,34,Male,Unemployed,N/A,5.65,0.34,5.31,6.38,3,4.1,55.0,149.0,19.2,64.3
U0056,34,Male,Unemployed,N/A,3.59,0.71,2.87,8.14,4,3.0,56.9,330.0,4.4,65.8
U0057,20,Male,Unemployed,N/A,4.84,1.1,3.74,8.4,3,2.2,89.3,333.0,15.1,88.6
U0058,21,Male,Employed,Office,8.61,6.25,2.36,7.13,3,4.7,55.1,213.0,11.7,62.7
U0059,22,Male,Unemployed,N/A,5.72,1.31,4.41,6.84,3,2.8,43.7,165.0,15.8,67.8
U0060,18,Male,Student,Hybrid,8.67,4.82,3.85,6.96,4,5.1,58.6,228.0,10.2,66.0
U0061,60,Male,Employed,Office,9.73,6.51,3.22,7.52,3,2.5,73.5,187.0,16.7,74.7
U0062,41,Male,Employed,Office,10.92,5.88,5.03,8.4,2,5.8,57.7,127.0,11.8,39.2
U0063,30,Female,Employed,Hybrid,8.68,6.3,2.38,6.32,3,6.3,41.7,65.0,16.1,47.4
U0064,37,Male,Employed,Remote,10.45,6.64,3.82,9.18,3,4.0,69.7,122.0,10.8,67.5
U0065,58,Male,Employed,Office,9.61,5.43,4.18,8.04,3,1.6,70.6,225.0,7.1,79.0
U0066,36,Female,Self-employed,Office,12.51,8.17,4.34,6.77,2,3.5,58.2,161.0,10.0,48.0
U0067,48,Female,Employed,Office,8.95,5.38,3.57,6.99,2,3.2,59.8,242.0,10.0,61.2
U0068,18,Female,Employed,Hybrid,11.74,6.4,5.33,7.01,4,6.8,51.2,197.0,6.8,31.4
U0069,46,Other,Self-employed,Hybrid,12.96,7.13,5.83,6.34,2,5.3,32.1,57.0,5.9,18.2
U0070,20,Female,Employed,Office,10.62,6.98,3.64,7.07,3,6.4,37.6,211.0,14.2,47.8
U0071,28,Male,Self-employed,Hybrid,11.24,5.3,5.94,6.56,3,5.5,43.0,109.0,7.3,52.9
U0072,46,Female,Employed,Office,7.46,4.58,2.88,7.81,4,4.5,47.5,137.0,11.1,58.9
U0073,45,Female,Employed,Remote,8.78,6.07,2.7,7.56,5,0.0,85.1,116.0,15.4,100.0
U0074,21,Female,Employed,Office,11.99,6.39,5.61,7.56,3,5.6,50.4,181.0,13.7,53.5
U0075,30,Female,Employed,Office,8.06,4.25,3.81,8.51,3,4.8,62.1,90.0,10.6,64.9
U0076,18,Female,Self-employed,Remote,13.36,7.0,6.37,6.62,3,6.0,46.9,110.0,9.8,34.0
U0077,30,Female,Employed,Hybrid,9.19,6.26,2.93,7.62,5,4.6,76.5,40.0,12.5,65.2
U0078,30,Other,Employed,Hybrid,9.68,6.66,3.02,6.43,2,6.6,42.5,222.0,13.4,35.9
U0079,33,Female,Employed,Remote,12.09,8.45,3.64,7.08,4,4.9,56.1,78.0,9.5,58.7
U0080,30,Male,Retired,N/A,4.56,1.13,3.42,8.58,5,1.3,89.8,270.0,16.6,100.0
U0081,33,Male,Employed,Office,9.33,7.66,1.67,7.05,4,5.8,50.2,119.0,12.4,55.3
U0082,18,Male,Employed,Hybrid,12.96,9.71,3.26,7.57,4,4.6,60.8,48.0,9.0,44.5
U0083,53,Female,Employed,Remote,10.83,8.82,2.01,7.11,3,4.6,62.2,121.0,15.2,56.7
U0084,41,Male,Employed,Hybrid,12.81,8.72,4.09,7.09,4,7.1,68.1,171.0,6.8,47.1
U0085,59,Female,Self-employed,Remote,6.79,5.12,1.66,7.26,5,4.5,78.1,327.0,16.2,84.3
U0086,36,Male,Student,Remote,9.62,6.14,3.49,8.0,4,5.9,62.4,82.0,5.4,61.3
U0087,55,Female,Unemployed,N/A,3.8,0.77,3.03,8.84,3,4.7,56.0,254.0,13.5,76.0
U0088,44,Male,Self-employed,Office,7.89,5.4,2.49,7.5,3,6.3,32.1,172.0,13.3,52.1
U0089,21,Male,Retired,N/A,6.31,1.16,5.15,6.76,3,0.5,74.6,226.0,12.2,77.4
U0090,19,Male,Self-employed,Hybrid,9.69,7.8,1.89,6.58,2,6.7,46.1,135.0,15.7,42.5
U0091,47,Male,Employed,Remote,11.37,7.86,3.51,6.44,4,7.1,30.0,125.0,9.1,45.3
U0092,39,Male,Employed,Hybrid,8.89,4.69,4.2,6.62,3,5.6,48.6,129.0,15.8,55.5
U0093,45,Female,Student,Hybrid,10.17,5.24,4.93,7.42,3,6.1,44.5,219.0,11.4,60.7
U0094,21,Male,Student,Office,9.57,6.01,3.56,7.54,5,6.9,73.6,142.0,12.4,58.2
U0095,42,Female,Employed,Office,10.27,6.55,3.72,6.34,2,3.9,38.5,60.0,14.9,44.3
U0096,18,Male,Employed,Remote,10.7,7.75,2.95,7.97,3,7.5,28.9,198.0,8.0,48.9
U0097,18,Female,Employed,Hybrid,8.55,3.53,5.02,7.88,5,4.7,70.9,189.0,10.7,68.9
U0098,31,Female,Employed,Remote,11.78,8.96,2.82,5.4,2,7.6,21.6,64.0,11.4,17.5
U0099,41,Male,Employed,Office,7.85,4.05,3.8,6.77,2,4.3,66.8,215.0,11.4,56.6
U0100,29,Female,Student,Office,8.46,4.07,4.39,7.83,4,1.9,64.6,98.0,9.2,79.6
U0101,31,Female,Employed,Hybrid,14.96,7.87,7.08,5.47,1,7.5,27.0,100.0,7.1,6.4
U0102,33,Female,Employed,Remote,10.87,9.69,1.18,7.32,2,6.3,62.4,89.0,14.2,41.1
U0103,41,Male,Employed,Remote,11.85,9.94,1.91,6.35,3,7.0,27.9,76.0,9.5,31.5
U0104,45,Female,Employed,Remote,14.94,8.54,6.4,6.25,2,9.0,38.3,109.0,7.5,7.6
U0105,37,Male,Employed,Office,8.99,3.38,5.61,6.38,3,2.6,60.3,146.0,14.6,78.6
U0106,39,Male,Self-employed,Remote,11.98,7.51,4.47,6.05,3,4.7,35.3,10.0,10.9,30.5
U0107,39,Female,Employed,Office,12.26,9.24,3.02,7.23,4,6.3,53.0,110.0,11.6,51.5
U0108,38,Female,Employed,Remote,8.8,5.72,3.09,6.55,4,7.1,54.0,233.0,11.1,57.4
U0109,51,Male,Employed,Hybrid,9.64,6.84,2.81,6.46,2,5.7,51.3,187.0,9.6,43.8
U0110,18,Male,Employed,Hybrid,8.89,6.81,2.08,6.59,2,6.2,46.1,154.0,14.4,39.9
U0111,27,Female,Employed,Hybrid,7.07,5.55,1.53,8.37,4,0.3,82.0,250.0,8.1,83.5
U0112,18,Female,Self-employed,Office,10.18,6.44,3.74,6.86,2,5.2,32.7,115.0,11.0,39.8
U0113,34,Male,Employed,Hybrid,8.77,6.87,1.9,7.35,4,4.9,49.9,271.0,6.2,67.5
U0114,32,Female,Retired,N/A,5.96,0.67,5.29,7.32,3,3.4,77.2,205.0,14.3,77.7
U0115,38,Female,Employed,Hybrid,11.5,7.2,4.31,6.43,3,5.4,45.8,133.0,10.0,41.3
U0116,50,Male,Employed,Office,8.12,3.93,4.19,8.43,3,4.5,53.2,215.0,14.5,65.5
U0117,38,Female,Student,Hybrid,5.76,3.11,2.65,8.58,5,5.2,83.8,322.0,13.3,81.0
U0118,39,Male,Unemployed,N/A,2.38,0.7,1.67,6.95,3,1.5,71.8,251.0,12.4,80.8
U0119,45,Female,Self-employed,Office,10.07,5.33,4.74,6.54,3,5.7,63.8,193.0,11.7,55.3
U0120,19,Other,Unemployed,N/A,4.2,1.2,3.0,7.65,4,5.1,89.7,267.0,13.8,78.4
U0121,18,Female,Student,Office,10.55,4.62,5.93,7.66,2,3.7,47.5,141.0,12.6,58.9
U0122,29,Male,Student,Office,7.16,2.71,4.46,8.58,4,2.0,71.0,106.0,8.3,74.2
U0123,25,Female,Unemployed,N/A,1.32,0.0,1.32,9.67,4,0.5,100.0,356.0,12.2,100.0
U0124,37,Female,Student,Hybrid,12.02,6.95,5.07,6.4,4,6.9,46.9,71.0,8.7,39.1
U0125,43,Female,Employed,Hybrid,10.3,7.43,2.87,6.45,3,5.7,56.0,138.0,14.1,47.9
U0126,57,Female,Self-employed,Remote,11.59,8.79,2.79,7.92,3,2.8,66.0,97.0,6.7,51.1
U0127,38,Male,Employed,Office,8.34,5.28,3.06,7.77,5,2.6,88.9,3.0,11.0,91.8
U0128,29,Female,Employed,Hybrid,9.52,6.59,2.93,7.55,3,5.1,48.6,151.0,9.4,49.1
U0129,32,Male,Self-employed,Hybrid,10.18,7.23,2.94,7.16,2,1.8,59.3,200.0,13.0,66.6
U0130,41,Female,Employed,Hybrid,9.51,7.33,2.18,6.39,3,6.7,31.9,185.0,9.4,47.0
U0131,26,Female,Student,Hybrid,6.69,3.28,3.4,7.82,5,2.3,49.9,205.0,8.5,80.2
U0132,45,Male,Employed,Office,8.03,4.43,3.59,8.61,4,3.7,67.0,141.0,8.5,68.5
U0133,36,Male,Unemployed,N/A,5.03,1.81,3.22,6.7,4,4.9,68.6,180.0,11.7,59.9
U0134,34,Female,Self-employed,Hybrid,8.26,6.73,1.53,8.2,4,3.7,80.8,247.0,12.4,79.2
U0135,20,Female,Self-employed,Remote,10.19,6.74,3.46,6.85,2,5.8,36.6,193.0,9.0,34.1
U0136,37,Female,Self-employed,Hybrid,10.65,6.34,4.31,6.25,4,6.2,50.4,69.0,8.6,45.8
U0137,56,Female,Employed,Office,9.61,5.84,3.78,7.02,5,7.6,38.5,177.0,8.3,50.6
U0138,50,Male,Employed,Office,6.63,4.0,2.63,8.38,3,4.3,57.8,167.0,9.9,53.5
U0139,44,Female,Employed,Office,11.49,7.39,4.11,6.96,3,6.1,37.8,80.0,12.7,42.6
U0140,41,Female,Employed,Hybrid,12.66,6.19,6.47,6.0,2,4.6,54.3,172.0,5.3,40.2
U0141,20,Female,Student,Hybrid,9.51,5.75,3.76,6.49,3,5.4,53.2,223.0,10.7,49.4
U0142,23,Male,Self-employed,Office,11.17,7.92,3.25,7.44,3,5.2,64.5,186.0,7.9,49.9
U0143,39,Female,Employed,Remote,10.1,6.53,3.57,6.94,3,2.8,54.1,195.0,13.7,69.6
U0144,45,Female,Unemployed,N/A,3.87,1.37,2.51,8.19,5,3.4,69.8,246.0,15.7,90.3
U0145,46,Female,Student,Hybrid,6.0,5.25,0.75,7.25,4,5.3,74.5,292.0,10.6,76.5
U0146,50,Female,Self-employed,Remote,8.0,4.57,3.43,7.29,4,0.7,76.1,187.0,13.5,96.2
U0147,27,Male,Employed,Hybrid,9.79,6.29,3.5,5.58,1,3.6,29.2,199.0,10.6,36.3
U0148,25,Female,Student,Hybrid,8.66,5.07,3.59,6.78,3,4.4,66.3,151.0,8.1,54.6
U0149,57,Other,Employed,Remote,8.59,7.41,1.18,5.92,2,6.5,50.8,202.0,5.1,30.9
U0150,36,Male,Employed,Hybrid,9.11,4.94,4.17,6.67,3,1.4,62.8,151.0,8.3,67.5
U0151,32,Female,Student,Office,9.02,3.52,5.5,5.96,1,5.6,41.8,179.0,12.9,33.3
U0152,39,Female,Employed,Hybrid,6.08,3.45,2.63,9.93,3,1.8,94.2,218.0,9.0,83.3
U0153,46,Female,Employed,Office,8.19,6.14,2.05,6.6,3,7.3,49.0,162.0,10.6,42.8
U0154,44,Male,Student,Hybrid,11.55,6.88,4.67,6.18,2,8.0,30.9,60.0,7.9,25.2
U0155,50,Male,Employed,Hybrid,13.14,8.09,5.05,5.78,2,4.6,45.2,67.0,9.0,29.9
U0156,40,Female,Employed,Hybrid,10.04,5.85,4.19,6.32,2,4.7,52.4,134.0,14.8,49.2
U0157,43,Female,Self-employed,Office,7.04,5.83,1.21,6.45,3,3.4,81.1,203.0,16.5,75.1
U0158,41,Male,Employed,Remote,7.87,5.61,2.26,7.57,4,5.3,81.6,118.0,11.2,62.8
U0159,18,Other,Unemployed,N/A,6.51,0.86,5.65,9.29,4,2.6,72.1,126.0,11.6,72.5
U0160,37,Other,Unemployed,N/A,7.42,1.13,6.29,7.3,5,4.8,73.3,226.0,9.6,73.4
U0161,48,Female,Employed,Remote,11.81,7.42,4.38,6.35,3,2.7,66.3,311.0,13.2,67.0
U0162,38,Female,Self-employed,Hybrid,12.14,8.83,3.31,6.77,3,7.8,45.7,157.0,9.0,32.4
